"ID"	"R1.D10"	"R1.D21"
"a100060"	3.51187499588827e-08	1.90182548288853e-07
"a100384"	1.95104166438237e-08	2.94782949847722e-07
"a100705"	4.68249999451769e-08	2.66255567604394e-07
"a101137"	3.12166666301179e-08	6.65638919010985e-08
"a101400"	3.16068749629944e-07	5.70547644866558e-07
"a101444"	6.24333332602359e-08	1.04600401558869e-07
"a101449"	3.51187499588827e-08	1.94937111996074e-07
"a101468"	4.97905832750381e-06	5.47250282701174e-06
"a102257"	3.90208332876474e-09	6.18093281938772e-08
"a102505"	3.90208332876474e-09	3.32819459505492e-08
"a103277"	5.30683332712005e-07	5.7530220857378e-07
"a103280"	1.17062499862942e-08	3.80365096577706e-08
"a103360"	3.51187499588827e-09	1.28373220094976e-07
"a103933"	5.46291666027064e-08	2.04446239410517e-07
"a103944"	5.07270832739416e-08	9.03367104372051e-08
"a104084"	1.11209374869795e-06	1.25995938241365e-06
"a10413"	2.73145833013532e-08	2.28219057946623e-07
"a104202"	7.80416665752948e-09	4.27910733649919e-09
"a104391"	1.95104166438237e-08	2.37728185361066e-08
"a104548"	7.80416665752948e-09	3.32819459505492e-08
"a104555"	3.90208332876474e-08	1.94937111996074e-07
"a104709"	4.68249999451769e-08	9.03367104372051e-08
"a104801"	3.12166666301179e-08	2.13955366824959e-07
"a104879"	1.91202083109472e-07	4.3266529735714e-07
"a105028"	1.95104166438237e-08	2.28219057946623e-07
"a105417"	1.87299999780708e-07	3.99383351406591e-07
"a105793"	4.29229166164122e-08	1.04600401558869e-07
"a106198"	9.75520832191185e-07	1.68311555235635e-06
"a106324"	1.06917083208154e-06	1.25995938241365e-06
"a10650"	5.85312499314711e-07	1.15060441714756e-06
"a106515"	5.46291666027064e-08	3.51837714334378e-07
"a106757"	5.85312499314711e-08	5.70547644866559e-08
"a10679"	1.05356249876648e-07	2.94782949847722e-07
"a106813"	3.90208332876474e-09	1.90182548288853e-08
"a1071"	5.46291666027064e-08	1.85427984581632e-07
"a107303"	4.68249999451769e-08	3.09046640969386e-07
"a107324"	2.92656249657356e-07	4.75456370722132e-07
"a107859"	1.23696041521842e-06	2.14906279566404e-06
"a108471"	1.28768749849236e-07	3.37574023212714e-07
"a108856"	7.02374999177653e-08	1.23618656387754e-07
